date,dem_goods_hdln_yoy,sup_goods_hdln_yoy,dem_hous_hdln_yoy,sup_hous_hdln_yoy,dem_serv_ex_hous_hdln_yoy,sup_serv_ex_hous_hdln_yoy,dem_goods_hdln_mom,sup_goods_hdln_mom,dem_hous_hdln_mom,sup_hous_hdln_mom,dem_serv_ex_hous_hdln_mom,sup_serv_ex_hous_hdln_mom,dem_goods_core_yoy,sup_goods_core_yoy,dem_hous_core_yoy,sup_hous_core_yoy,dem_serv_ex_hous_core_yoy,sup_serv_ex_hous_core_yoy,dem_goods_core_mom,sup_goods_core_mom,dem_hous_core_mom,sup_hous_core_mom,dem_serv_ex_hous_core_mom,sup_serv_ex_hous_core_mom
1976m9,.80548525,.92921257,.16405582,.73202848,1.2310266,1.3766766,.10323252,.15514804,.0012679943,.06944488,.12557214,.10928147,.91108084,.92772245,.21089315,.94060898,1.4001608,1.6499639,.10228691,.12134041,.0016258822,.089045502,.13352625,.13993697
1976m10,.80791712,.92072487,.16405582,.72340965,1.2341976,1.3304591,.066955693,.21439564,0,.10282283,.14081232,.0016476645,.88406801,1.0329127,.21089315,.92824697,1.3836026,1.5936017,.040133785,.18035218,0,.13181643,.13814032,.0021122568
1976m11,.8358717,.85719824,.16405582,.71932077,1.2249589,1.1901855,.078471035,.082221933,0,.069803365,.15194467,.074880421,.91649294,.98592043,.21089315,.92259645,1.3678908,1.4198661,.097127564,.032781865,0,.089686573,.16080095,.077297807
1976m12,.78469515,.85958242,.16405582,.76972246,1.2720942,1.1609793,.10181637,.07179568,0,.12429731,.14796415,.12316753,.83708763,.98139048,.21089315,.98742247,1.3659716,1.3822913,.083355419,.05174965,0,.15970732,.093315825,.15825567
1977m1,.83835125,.94569921,.21387339,.75007677,1.1878967,1.2741566,.10052314,.16605689,.1012353,.00058292196,.037829537,.18089248,.84571838,1.0312796,.27475357,.96216202,1.2612462,1.4835835,.073071271,.16606447,.12987737,.00074784562,.048532486,.19646958
1977m2,.87741613,1.4274478,.23757219,.79801083,1.184082,1.3513565,.070109442,.34419832,.094182104,.048465274,.081260175,.15515529,.83690882,1.0489225,.30523539,1.0239601,1.2632132,1.5980363,.076988891,.06853658,.12130687,.062423449,.089379862,.20033523
1977m3,.95858574,1.5525222,.32616854,.72721243,1.1426806,1.52421,.099157959,.031984307,.088482872,.00022474767,.061809737,.22308367,.86323023,.95868111,.41866302,.93324184,1.207149,1.7887712,.049241178,-.046622921,.11325793,.00028767661,.05515011,.25517094
1977m4,.93076229,1.7575145,.32740831,.78982115,1.2001991,1.5825868,.025336161,.19645956,.0012368454,.097730778,.11952474,.1434844,.83466768,.86085796,.42023659,1.0126591,1.2798309,1.8673658,.034877915,.010865225,.0015741228,.12438115,.15211813,.17218332
1977m5,.98717213,1.7023683,.30963421,.81269741,1.1994839,1.6036868,.1454715,.085040532,.0018721058,.074766867,.10522314,.097288899,.77121258,.89831352,.39746761,1.0416269,1.2938023,1.9051671,.014351484,.13857901,.0023874291,.095347516,.13596794,.12406905
1977m6,.92092752,1.817286,.28982162,.8461833,1.2355208,1.6289234,.012380728,.19867676,.00011768686,.086058997,.082824178,.17981586,.7324338,1.0219932,.37202835,1.0840535,1.3395071,1.950264,.045744438,.122289,.00015020122,.10983525,.10570672,.21380243
